0,0.238379,0.0887247,9.47247,193.865,147.989
0.5,0.172265,0.12828,7.60189,152.442,116.367
1,0.125518,0.139701,5.98243,116.279,88.7495
1.5,0.0931966,0.137906,4.84893,90.2239,68.8547
2,0.0619848,0.114362,3.6726,63.5937,48.532
2.5,0.0416372,0.0919071,2.97285,47.2143,36.0307
3,0.0236552,0.0607671,2.31655,31.6571,24.1475
3.5,0.0131328,0.0384363,1.94426,22.5329,17.1832
4,0.00699315,0.0229497,1.72431,16.9403,12.9148
4.5,0.00329052,0.0119578,1.62543,14.1269,10.7666
5,0.00140917,0.00561385,1.60673,13.2864,10.1243
